CodeCommune;type_donnees;numero_annee;s52;s51;s50;s49;s48;s47;s46;s45;s44;s43;s42;s41;s40;s39;s38;s37;s36;s35;s34;s33;s32;s31;s30;s29;s28;s27;s26;s25;s24;s23;s22;s21;s20;s19;s18;s17;s16;s15;s14;s13;s12;s11;s10;s09;s08;s07;s06;s05;s04;s03;s02;s01
MDG43404031;PRECIPITATION;2013;88.2360364;30.6205527;72.4104887;48.2051867;16.43626035;50.815959;2.1847453;3.4258685;0.7137138;2.763291;0;4.7621037;33.55191;0;0;0;0;0;0;0;0.04597978;0;0;0;0.02538751;0;0.10508955;0;0;0;0.04324902;1.18015464;0;0;0;2.2693374;0.1787894;4.03682055;13.55857;8.6734281;13.8667251;15.55211033;18.2779425;4.5064181;86.42298586;56.3890848;13.5228666;164.030109;45.26910786;125.132231;45.914782;57.12702047
MDG43404031;PRECIPITATION;2014;42.7318603;61.7036811;14.8673824;2.3860417;21.7657945;13.9267419;0.04720571;20.0133587;0;0.1777916;0.2452928;119.943;0;0;0;0;0;0;0.0339463;0;0;0;7.6024977;0.28097378;0;0;0;0.1711663;0.03382666;0;0;0.1239578;0;0;0;0;12.9464163;0;53.7272819;122.75682;24.315726;22.7694299;17.1081158;30.0903917;85.048769;144.4713036;105.0979512;35.8523006;49.5833143;295.4236553;39.31854189;91.608043
MDG43404031;PRECIPITATION;2015;53.1009683;81.8513693;41.0512817;7.3890501;40.9356866;9.1309954;0;2.48382516;21.962895;2.6799353;0.02309827;0;0.06293797;0;0;0;0;0;0;0;1.014699;1.249908;0;0.06136888;0;0;0.05480839;0;0;0.09797954;0;0;0;0;1.516436;0.3615126;0;12.0298764;0.1600462;17.349245;16.7865105;36.28511543;128.2581859;57.0583198;60.3576119;33.6490626;29.295214;112.9142241;44.9812003;99.4702083;237.978144;117.257951
MDG43404031;PRECIPITATION;2016;6.2409406;30.5113665;22.6710436;9.145531;41.7999528;2.7112228;15.3942048;0.3683502;28.58047413;0;0;2.3544431;0;0;0;0;0;0;0;0.03721619;0.03768504;0;0;0.81538639;0;0.02309675;0;0;8.3687694;0.1816055;0.4281726;0.6253547;0;0.19337265;1.833491;0;0.4070156;0.04403393;2.742473;14.48203258;17.3502136;15.90443332;106.5928787;1.06379981;132.9661891;19.3147845;57.83579673;203.309882;61.3662034;147.836409;75.9025656;36.7286568
MDG43404031;PRECIPITATION;2017;80.7359447;15.8387057;20.0584083;38.6251065;26.026221;43.5359105;52.6760197;2.18308496;0;23.3336151;6.0465165;3.560917;0;0;0.5206866;0;0;0.6260894;0;0.6253775;0.20314357;0.02306365;2.2213803;0;0;0;0.17510192;0;0;0.60668769;0;0;0;0;0;30.83955;0.4194814;0.3619266;21.68756;89.320769;15.135079;28.0718778;64.3430097;6.6751658;39.734393;23.6958826;78.96796051;33.22317621;56.4636072;7.8736039;62.28447823;52.1082169
