CodeCommune;type_donnees;numero_annee;s52;s51;s50;s49;s48;s47;s46;s45;s44;s43;s42;s41;s40;s39;s38;s37;s36;s35;s34;s33;s32;s31;s30;s29;s28;s27;s26;s25;s24;s23;s22;s21;s20;s19;s18;s17;s16;s15;s14;s13;s12;s11;s10;s09;s08;s07;s06;s05;s04;s03;s02;s01
MDG43404132;PRECIPITATION;2013;77.3881386;41.629164;77.4527674;47.0063759;20.174575;51.212891;2.512276;3.3054059;2.33193662;2.468311;0;8.7710618;27.61852367;0.02599143;0.10866653;0.0608671;0;0.2161493;0.07378389;0;0.38143158;0.2422364;0.35514786;0.1912654;0.42844051;0.1804972;0.35290353;0.3752577;0.13574694;0;0.23260996;2.4676213;0.88710981;0.6167455;0.2867382;4.0342381;0.74912337;4.56899258;12.11799127;8.9590075;27.2613299;21.8603676;17.89975913;7.35585825;79.9014943;62.0958595;14.43603246;168.134698;51.661195;112.6714825;44.95752512;59.52013462
MDG43404150;PRECIPITATION;2013;70.46448846;46.9850752;69.6444667;45.0113938;25.72657439;59.7392306;2.4070272;3.6520328;2.194535;2.125251;0;18.9977934;22.29201038;0;0;0;0.04234615;0;0;0;0.1958727;0.02305727;0;0;0;0;0.4809534;0;0;0;0.19063632;3.64213301;0;0;0;5.0948905;0.15720228;3.1622797;10.6981;6.84739457;41.4057799;49.04403193;17.91371464;13.77494834;70.87372064;85.415374;17.24322465;146.805013;56.719663;113.1020494;44.28814057;59.67197
MDG43404171;PRECIPITATION;2013;21.2261662;106.884538;79.3040692;40.3871935;61.519944;95.219263;3.89458774;5.0741707;9.5904074;1.0374042;0.8724647;67.13733;3.0410802;0;0;0;0.2254342;0.27481319;0;0;0.7282789;0.2755729;0.02841723;0;0;0;1.3595493;0;0;0;0.7843448;10.5006019;0.1582107;0.14673762;0.1856344;13.85098861;0.23776801;0.61415578;1.218828;1.15230602;127.4749851;139.51889;15.8387638;42.5569545;24.171575;154.808915;28.54275209;106.977623;93.806033;68.808473;38.33858118;68.3227469
MDG43404172;PRECIPITATION;2013;15.3822534;114.0036684;77.5485389;41.6778154;64.6259196;97.5679095;3.89886396;4.9278374;11.4066722;0.60809365;0.58580905;72.943423;5.16715136;0.1121993;0.7103909;0.2959315;0.2211065;1.06706792;0.5764091;0;2.5266622;1.90420266;1.6962929;0.8997122;1.17740143;0.4109331;2.23973623;2.38773829;0.34175845;0;1.496976;11.5303324;3.86715187;0.67653998;1.20936848;16.1812224;2.306864;3.9232247;1.3677841;5.2941896;136.9792822;149.3360737;19.6454589;44.3049925;20.7246311;166.811917;30.6411225;107.538073;93.5689296;64.7087854;41.59440753;68.3128758
MDG43404173;PRECIPITATION;2013;15.3822534;114.0036684;77.5485389;41.6778154;64.6259196;97.5679095;3.89886396;4.9278374;11.4066722;0.60809365;0.58580905;72.943423;5.16715136;0.1121993;0.7103909;0.2959315;0.2211065;1.06706792;0.5764091;0;2.5266622;1.90420266;1.6962929;0.8997122;1.17740143;0.4109331;2.23973623;2.38773829;0.34175845;0;1.496976;11.5303324;3.86715187;0.67653998;1.20936848;16.1812224;2.306864;3.9232247;1.3677841;5.2941896;136.9792822;149.3360737;19.6454589;44.3049925;20.7246311;166.811917;30.6411225;107.538073;93.5689296;64.7087854;41.59440753;68.3128758
MDG43404191;PRECIPITATION;2013;88.2360364;30.6205527;72.4104887;48.2051867;16.43626035;50.815959;2.1847453;3.4258685;0.7137138;2.763291;0;4.7621037;33.55191;0;0;0;0;0;0;0;0.04597978;0;0;0;0.02538751;0;0.10508955;0;0;0;0.04324902;1.18015464;0;0;0;2.2693374;0.1787894;4.03682055;13.55857;8.6734281;13.8667251;15.55211033;18.2779425;4.5064181;86.42298586;56.3890848;13.5228666;164.030109;45.26910786;125.132231;45.914782;57.12702047
MDG43404192;PRECIPITATION;2013;88.2360364;30.6205527;72.4104887;48.2051867;16.43626035;50.815959;2.1847453;3.4258685;0.7137138;2.763291;0;4.7621037;33.55191;0;0;0;0;0;0;0;0.04597978;0;0;0;0.02538751;0;0.10508955;0;0;0;0.04324902;1.18015464;0;0;0;2.2693374;0.1787894;4.03682055;13.55857;8.6734281;13.8667251;15.55211033;18.2779425;4.5064181;86.42298586;56.3890848;13.5228666;164.030109;45.26910786;125.132231;45.914782;57.12702047
MDG43404010;PRECIPITATION;2014;42.7318603;61.7036811;14.8673824;2.3860417;21.7657945;13.9267419;0.04720571;20.0133587;0;0.1777916;0.2452928;119.943;0;0;0;0;0;0;0.0339463;0;0;0;7.6024977;0.28097378;0;0;0;0.1711663;0.03382666;0;0;0.1239578;0;0;0;0;12.9464163;0;53.7272819;122.75682;24.315726;22.7694299;17.1081158;30.0903917;85.048769;144.4713036;105.0979512;35.8523006;49.5833143;295.4236553;39.31854189;91.608043
MDG43404031;PRECIPITATION;2014;42.7318603;61.7036811;14.8673824;2.3860417;21.7657945;13.9267419;0.04720571;20.0133587;0;0.1777916;0.2452928;119.943;0;0;0;0;0;0;0.0339463;0;0;0;7.6024977;0.28097378;0;0;0;0.1711663;0.03382666;0;0;0.1239578;0;0;0;0;12.9464163;0;53.7272819;122.75682;24.315726;22.7694299;17.1081158;30.0903917;85.048769;144.4713036;105.0979512;35.8523006;49.5833143;295.4236553;39.31854189;91.608043
MDG43404032;PRECIPITATION;2014;42.7318603;61.7036811;14.8673824;2.3860417;21.7657945;13.9267419;0.04720571;20.0133587;0;0.1777916;0.2452928;119.943;0;0;0;0;0;0;0.0339463;0;0;0;7.6024977;0.28097378;0;0;0;0.1711663;0.03382666;0;0;0.1239578;0;0;0;0;12.9464163;0;53.7272819;122.75682;24.315726;22.7694299;17.1081158;30.0903917;85.048769;144.4713036;105.0979512;35.8523006;49.5833143;295.4236553;39.31854189;91.608043
MDG43404050;PRECIPITATION;2014;45.8637984;50.5744054;54.8249618;17.26126499;41.0317108;14.63714076;0.40763086;39.6468126;0.05104021;1.357092;0.904292;56.48268;0.1466795;0.02999215;0;0;0.10507636;0;0.2704173;0;0.26809316;0.11549424;7.5152894;2.22788143;0;0.03673742;0.02788009;1.42508535;0.2781867;0;0;0.9061319;0;0.1574743;0.06936479;0;7.72347258;0.03324877;32.2146893;66.277391;42.16976636;13.02251322;9.88349607;45.23627145;69.299803;98.7097588;99.709958;73.695975;33.3327616;205.455794;24.81319893;94.5160096
MDG43404070;PRECIPITATION;2014;45.8637984;50.5744054;54.8249618;17.26126499;41.0317108;14.63714076;0.40763086;39.6468126;0.05104021;1.357092;0.904292;56.48268;0.1466795;0.02999215;0;0;0.10507636;0;0.2704173;0;0.26809316;0.11549424;7.5152894;2.22788143;0;0.03673742;0.02788009;1.42508535;0.2781867;0;0;0.9061319;0;0.1574743;0.06936479;0;7.72347258;0.03324877;32.2146893;66.277391;42.16976636;13.02251322;9.88349607;45.23627145;69.299803;98.7097588;99.709958;73.695975;33.3327616;205.455794;24.81319893;94.5160096
MDG43404091;PRECIPITATION;2014;48.041874;44.4947754;72.1521247;26.082383;59.2214198;18.0592024;1.26061729;48.80836434;0.4415741;2.0269247;1.236928;34.82122;0.2874536;0.939425;0.5449658;0;2.0107017;0;0.70920319;1.0409729;1.9893175;1.24508359;13.9146042;7.58542064;0.9781451;2.12107163;2.28132774;4.24919559;2.9068878;1.16234131;0.531741;2.547242;0;1.4131162;4.0290169;0;6.01943478;4.38198771;23.30070046;48.71068982;56.448419;11.93044538;12.9787483;53.788827;62.5177922;78.5638009;99.854249;91.141936;30.1255107;161.696517;19.1473585;94.1749224
