CodeCommune;type_donnees;numero_annee;s52;s51;s50;s49;s48;s47;s46;s45;s44;s43;s42;s41;s40;s39;s38;s37;s36;s35;s34;s33;s32;s31;s30;s29;s28;s27;s26;s25;s24;s23;s22;s21;s20;s19;s18;s17;s16;s15;s14;s13;s12;s11;s10;s09;s08;s07;s06;s05;s04;s03;s02;s01
MDG54508059;PRECIPITATION;2015;12.35081042;34.18003012;0.14077721;0.286984;0.02772676;0.15021532;0;0.06593991;13.21750527;0;0.04354505;0;0;0;0;0.0428566;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.232667;0.02260304;0;0;0;0.07205278;0.0287606;0.48480972;14.65584039;86.67554953;13.9355094;18.3863765;30.22738023;64.3380909;34.27830719;36.89217469;73.56827356;204.6678245;277.4300149
MDG54508079;PRECIPITATION;2015;12.35081042;34.18003012;0.14077721;0.286984;0.02772676;0.15021532;0;0.06593991;13.21750527;0;0.04354505;0;0;0;0;0.0428566;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.232667;0.02260304;0;0;0;0.07205278;0.0287606;0.48480972;14.65584039;86.67554953;13.9355094;18.3863765;30.22738023;64.3380909;34.27830719;36.89217469;73.56827356;204.6678245;277.4300149
MDG54508159;PRECIPITATION;2015;13.85804945;37.0321216;0.6840613;1.8897049;0.02000143;1.09748816;0.07502066;0.41330591;14.50858606;0.24167865;0.02720684;0;0;0;0;0.5542557;0;0;0;0;0;0.02394787;0;0;0;0;0;0;0;0;0;0;0;0.0222209;0;0;0.04301509;0.06561832;0;0.40436738;0.19820306;15.05123715;84.059365;13.1242284;18.5939071;30.9537812;64.36600748;35.040424;36.554;72.7349203;202.6206153;274.485886
MDG54508179;PRECIPITATION;2015;13.85804945;37.0321216;0.6840613;1.8897049;0.02000143;1.09748816;0.07502066;0.41330591;14.50858606;0.24167865;0.02720684;0;0;0;0;0.5542557;0;0;0;0;0;0.02394787;0;0;0;0;0;0;0;0;0;0;0;0.0222209;0;0;0.04301509;0.06561832;0;0.40436738;0.19820306;15.05123715;84.059365;13.1242284;18.5939071;30.9537812;64.36600748;35.040424;36.554;72.7349203;202.6206153;274.485886
MDG54508010;PRECIPITATION;2016;15.956741;1.3954505;0.04089225;0.4642381;4.257498;0.08617764;0.08939474;0;6.04805395;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.988971;0;0;0;0;0.03284122;0;2.003777;1.664116;0;0;0;0;0;1.993066;0.02077009;26.5396556;6.1536451;70.5926495;14.11243097;6.975226;29.30095215;0.02474646;0.69576794;34.31929885;0.37303621;0.7695124;66.74108121;4.040247
MDG54508059;PRECIPITATION;2016;15.92278;1.4019765;0.04458593;0.4234506;5.187621;0.03506146;0.10162665;0;5.997697;0;0;0;0;0.02648142;0;0;0;0;0;0;0;0;0;1.986974;0;0;0;0;0.0316528;0;2.000803;1.972446;0;0.04270467;0;0;0;2.00493;0.02027628;26.3490278;6.28097105;70.4611805;14.01591;7.33148734;29.04738638;0.07895546;0.69719999;34.22451696;0.4642538;0.79642567;66.72880702;4.10418578
MDG54508079;PRECIPITATION;2016;15.92278;1.4019765;0.04458593;0.4234506;5.187621;0.03506146;0.10162665;0;5.997697;0;0;0;0;0.02648142;0;0;0;0;0;0;0;0;0;1.986974;0;0;0;0;0.0316528;0;2.000803;1.972446;0;0.04270467;0;0;0;2.00493;0.02027628;26.3490278;6.28097105;70.4611805;14.01591;7.33148734;29.04738638;0.07895546;0.69719999;34.22451696;0.4642538;0.79642567;66.72880702;4.10418578
MDG54508159;PRECIPITATION;2016;15.738333;1.6054298;0.74185043;0.5610942;4.095702;0.47879;0.20258572;0.02035326;5.901414;0.1934501;0.6025217;0;0;0.113298;0;0;0;0;0;0;0;0;0;1.998092;0;0;0;0;0.07716733;0;1.971667;1.305747;0;0;0;0;0;2.101149;0;26.104534;6.49545451;70.0729952;13.893545;9.0087694;29.3509581;0.02599102;0.7612482;33.8879833;0.6858882;0;66.40553694;4.3113665
MDG54508179;PRECIPITATION;2016;15.738333;1.6054298;0.74185043;0.5610942;4.095702;0.47879;0.20258572;0.02035326;5.901414;0.1934501;0.6025217;0;0;0.113298;0;0;0;0;0;0;0;0;0;1.998092;0;0;0;0;0.07716733;0;1.971667;1.305747;0;0;0;0;0;2.101149;0;26.104534;6.49545451;70.0729952;13.893545;9.0087694;29.3509581;0.02599102;0.7612482;33.8879833;0.6858882;0;66.40553694;4.3113665
MDG54508010;PRECIPITATION;2017;13.996871;0;8.993985;3.9161902;0.6050494;0;11.03558;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.7676519;0;0;0;0;0;0.2869202;0;0.8995482;0;6.41176182;0;1.28345448;2.16757805;0.03437941;54.813267;38.93875;10.03267823;65.74442226;35.70919828;1.21778409;54.31252347;58.6767688
MDG54508059;PRECIPITATION;2017;14.4641806;0.30525175;9.356481;4.8826428;1.3481363;2.19074947;14.29269153;0;0.1089532;0.2323061;0.1213899;0;0.28717027;0.04124814;0.02398447;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.69761552;0;0;0.05365428;0;0.04559816;0.9767846;0.06307131;0.8961769;0;6.13624294;0;1.092723;2.11206554;0.02765477;54.94091456;38.94383;10.08011906;65.88484677;37.20744;1.12969958;54.06690352;58.577404
MDG54508079;PRECIPITATION;2017;14.4641806;0.30525175;9.356481;4.8826428;1.3481363;2.19074947;14.29269153;0;0.1089532;0.2323061;0.1213899;0;0.28717027;0.04124814;0.02398447;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.69761552;0;0;0.05365428;0;0.04559816;0.9767846;0.06307131;0.8961769;0;6.13624294;0;1.092723;2.11206554;0.02765477;54.94091456;38.94383;10.08011906;65.88484677;37.20744;1.12969958;54.06690352;58.577404
MDG54508159;PRECIPITATION;2017;15.2075877;0.5719734;9.4660886;4.54267239;1.6578082;0.83014398;10.48978;0;0;0;0;0;0;0.2184967;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.7896976;0;0;0.26990982;0;0.26795878;0.2959722;0.21407793;0.8836817;0;6.5570279;0.1193853;0.9808403;2.50138657;1.1041805;54.41390979;38.48139;11.39382753;64.8141954;35.53871116;1.031469;53.55110645;58.37878371
MDG54508179;PRECIPITATION;2017;15.2075877;0.5719734;9.4660886;4.54267239;1.6578082;0.83014398;10.48978;0;0;0;0;0;0;0.2184967;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.7896976;0;0;0.26990982;0;0.26795878;0.2959722;0.21407793;0.8836817;0;6.5570279;0.1193853;0.9808403;2.50138657;1.1041805;54.41390979;38.48139;11.39382753;64.8141954;35.53871116;1.031469;53.55110645;58.37878371
