CodeCommune;type_donnees;numero_annee;s52;s51;s50;s49;s48;s47;s46;s45;s44;s43;s42;s41;s40;s39;s38;s37;s36;s35;s34;s33;s32;s31;s30;s29;s28;s27;s26;s25;s24;s23;s22;s21;s20;s19;s18;s17;s16;s15;s14;s13;s12;s11;s10;s09;s08;s07;s06;s05;s04;s03;s02;s01
MDG54508010;LST_NIGHT;2015;24.55;24.02;23.45;23.39857143;23.31857143;23.33;23.57;18.83;21.86428571;23.12714286;22.61857143;22.28428571;22.46714286;21.81285714;20.63;18.45;20.25;19.77857143;18.53285714;16.87857143;15.34142857;14.91285714;16.37;16.99;15.36142857;15.49;16.78142857;16.74714286;15.57;19.65;19.99;20.33;20.55285714;20.14714286;21.62714286;23.21285714;23.69285714;23.69857143;23.39;23.89;24.42142857;24.88142857;25.03;23.65;23.47;24.24;24.19;23.19;23.70428571;23.79;23.66;26.55
MDG54508059;LST_NIGHT;2015;22.03;22.58;16.43;18.22142857;21.46142857;23.18428571;20.75;15.21;15.21;16.07;19.48714286;21.33857143;19.47571429;17.04142857;16.15;16.05;17.98714286;15.43857143;13.70714286;13.09857143;12.84714286;12.97857143;14.11;14.11;13.51;13.36714286;14.16142857;14.12714286;13.80714286;15.19857143;15.49;17.23;16.15;17.45571429;18.08428571;19.56714286;21.92714286;22.53857143;19.95;21.71;22.08714286;22.25;22.29;21.77;21.77;22.08;22.65;22.31;21.72714286;21.63;21.94;21.73
MDG54508079;LST_NIGHT;2015;24.65;23.16;21.65;21.83857143;22.79285714;24.19571429;22.07;17.05;17.05;18.52360245;19.25;19.96142857;21.17285714;21.19;17.35;16.73;18.83857143;17.24714286;15.78428571;14.25857143;13.11571429;13.71285714;14.21;14.29;13.46714286;13.77285714;14.54428571;14.17571429;13.85;16.03;17.71;17.25;16.56428571;14.03571429;17.77857143;21.77285714;22.32714286;22.12714286;21.87;22.85;22.52428571;23.81285714;24.35;23.04;22.57;22.16;22.82;23.15;23.03;23.01;23.46;24.37
MDG54508159;LST_NIGHT;2015;22.54;22.68;22.17;22.57285714;23.30428571;23.52142857;21.91;19.89;21.41571429;21.91285714;22.50142857;22.28714286;20.89857143;19.38714286;19.49;15.57;19.90714286;17.68714286;17.08142857;16.07;14.11571429;14.20428571;15.25;14.85;13.94142857;14.56142857;15.57857143;14.87571429;13.79;15.52142857;17.51;17.85;18.12428571;21.08428571;21.49571429;21.47;22.27;22.33;21.49;22.53;22.90714286;21.77;21.29;23.01;23.01;22.64;23.12;23.91;23.01857143;22.87;23.05;24.03
MDG54508179;LST_NIGHT;2015;21.54;21.56;21.93;21.48428571;21.49571429;22.63571429;20.39;14.31;18.63;19.35;22.01;20.74142857;18.94714286;18.28714286;15.87;17.31;16.69285714;16.04714286;15.92142857;14.73857143;12.99571429;13.10142857;14.85;14.21;13.09571429;13.69571429;14.81;14.64714286;14.44714286;16.57857143;17.11;15.83;16.65285714;18.56142857;18.23;18.59;20.83571429;22.49285714;21.55;22.15;22.44142857;20.79;20.11;22.67;22.67;22.84;22.51;22.61;22.07857143;21.99;22.54;22.75
MDG54508010;LST_NIGHT;2016;24.07;24.51;23.85;23.77857143;24.19571429;24.55571429;24.35571429;23.73857143;23.55;22.57;22.55285714;22.86428571;22.01857143;21.64142857;22.13285714;22.19;22.19;19.53023556;19.68;17.51;16.66;15.89;16.57;16.04;15.58;16.21;16.57;16.99;15.28;18.03;19.54;19.87;19.38;19.33;22.03857143;22.49;24.21;23.74714286;23.13;23.05;24.62;24.97;24.52428571;23.76428571;24.73571429;24.99285714;24.26714286;24.66714286;24.41;24.79;24.79;24.57
MDG54508059;LST_NIGHT;2016;21.85;21.89;22.41;20.93857143;21.13857143;21.52428571;21.04428571;20.44714286;19.95;17.01;17.01;20.05;16.24428571;13.39;17.43;17.27571429;16.35;15.94685025;15.51;14.56;13.88;13.67;14.06;14.89;13.07;13.52;14.26;14.34;13.99;14.24;15.65;13.87;15.49;16.97;16.33571429;16.23;17.83;19.08142857;20.75;21.55;22.75;24.49;23.49571429;23.33;24.85;22.57857143;19.55;12.71;12.71;23.47;23.47;22.51
MDG54508079;LST_NIGHT;2016;24.40142857;23.05;23.83;24.01571429;23.53;23.51285714;24.19857143;24.42142857;23.53;17.65;21.50714286;21.55;19.60714286;19.82142857;20.78142857;18.18142857;18.01;17.46520368;15.69;15.57;14.16;13.58;14.51;14.35;13.66;13.95;14.57;14.08;13.68;15.01;15.87;17.68;16.66;17.87;16.44714286;16.21;20.75;20.75;21.56;22.95;22.48;23.63;23.80142857;23.70142857;23.50142857;23.33857143;22.29857143;20.52714286;24.47;24.19;24.19;23.64
MDG54508159;LST_NIGHT;2016;23.99571429;23.59;24.13;22.93;23.31857143;23.82428571;24.03571429;24.68428571;22.49;19.93;21.95285714;20.80428571;19.76428571;20.15;20.51571429;18.97;18.61;17.42053588;17.35;16.95;15.58;14.09;15.76;14.94;13.65;14.05;15.88;14.35;13.11;15.83;16.49;17.95;18.69;20.57;17.62142857;17.13;21.91;22.44142857;23.15;23.05;22.58;24.31;21.17285714;22.45;24.10714286;24.27;22.77285714;21.21;23.49;24.57;24.57;23.68
MDG54508179;LST_NIGHT;2016;23.47857143;22.88;22.77;23.35571429;22.47;20.66142857;20.57;23.03;19.79;16.65;17.59285714;17.32142857;16.87571429;16.95285714;17.63285714;18.15857143;16.77;16.59;16.55;15.57;13.24;13.63;14.58;14.59;15.35;13.68;14.58;15.49;14.56;16.77;17.46;15.95;17.09;18.11;16.22428571;15.91;21.39;21.74142857;22.21;22.61;22.35;23.61;23.14714286;22.71285714;23.19857143;22.41857143;20.52714286;20.53285714;23.91;22.87;22.87;22.95
MDG54508010;LST_NIGHT;2017;25.37;24.69285714;23.33857143;23.33285714;24.07;23.87;23.47571429;23.19571429;23.25857143;22.98428571;22.68142857;23.05857143;22.15;21.83;21.64142857;20.72428571;18.31285714;16.95857143;17.05;16.65;16.59201255;16.07;15.36714286;14.62142857;14.01571429;14.71;16.02428571;15.93571429;14.89;15.87;16.65857143;16.79;21.63;20.58428571;20.15571429;22.79857143;24.17;23.09;23.74142857;24.39;24.37285714;24.25857143;23.83;23.79;23.70428571;25.39;26.07;25.81;25.61571429;25.13;25.25;24.07
MDG54508059;LST_NIGHT;2017;22.52428571;20.86142857;18.93;19.60142857;21.23;21.37;19.93;22.27571429;23.31;19.27;18.21285714;15.57;16.51;16.51;18.13857143;16.68142857;15.69285714;15.28142857;14.59571429;13.57571429;13.97;13.61;13.18142857;13.08142857;11.45857143;10.97857143;12.37285714;13.52714286;14.11;12.13;13.24428571;15.25857143;15.99;14.37;15.02714286;17.40428571;21.81;22.33;19.51857143;22.49;22.61571429;22.66714286;21.09;21.89;21.89;21.57;19.69;22.71;22.15;20.75;21.62142857;21.85
MDG54508079;LST_NIGHT;2017;24.75571429;23.36714286;20.89857143;21.48142857;22.75;23.01;19.70142857;22.73571429;22.04428571;20.43285714;20.83857143;22.17;23.73;17.47;18.25857143;15.93285714;15.43;15.90142857;15.33571429;13.61571429;14.01;13.69;13.60428571;13.34714286;11.52428571;10.86428571;12.15;13.33;13.81;11.79;13.40142857;15.35571429;16.52142857;14.58428571;12.80714286;16.81857143;21.43;21.53;21.53;21.57;21.93;22.72714286;22.11;22.17;23.18142857;24.52142857;25.33285714;25.08428571;24.58142857;25.01;24.19857143;23.75
MDG54508159;LST_NIGHT;2017;24.38142857;23.24142857;21.75;22.45;22.45;23.23;22.81857143;23.49285714;22.37285714;21.53285714;22.07;22.56714286;21.95;19.35;20.48142857;19.12714286;17.01285714;16.80714286;17.54428571;16.24142857;15.71;16.93;15.01;14.77571429;13.51857143;12.99571429;14.05285714;15.21;15.21;13.81;14.53;17.65;18.50714286;17.75285714;17.96428571;20.36428571;21.65;22.19;21.71;23.09;22.99857143;22.74142857;22.57;22.81;22.53571429;22.49;24.29;24.18714286;24.22714286;24.67;25.04714286;22.35
MDG54508179;LST_NIGHT;2017;23.18142857;21.83571429;20.08142857;20.62714286;18.33;21.43;18.48142857;20.36142857;21.31;18.81;19.24428571;19.67571429;15.75;18.69;18.93;17.62714286;16.08428571;15.51857143;15.23857143;13.79285714;13.09;14.83;13.66428571;13.74142857;12.11285714;11.14428571;11.95571429;13.00428571;13.81;13.79;13.92714286;14.72142857;16.35571429;16.81;16.49;18.11857143;21.89;21.87;17.96142857;22.61;21.87285714;20.54142857;23.61;22.67;20.63;20.29;23.93;23.25285714;22.63571429;23.35;24.38428571;22.21
